Budget Type,District,Government,Budget,Economic Function,year,Vote,ofWhich,Programme
Development Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"22,900",o/w Ishaka Division,2017/18 Draft Estimates,Vote:777,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,BUSHENYI-ISHAKA Municipal Council,Central Government,"13,741",o/w Nyakabirizi Division,2017/18 Draft Estimates,Vote:777,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"172,003",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:778,,Programme  01 Administration
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"56,405",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:778,,Programme  01 Administration
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"279,338",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:778,,Programme  01 Administration
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"5,212",o/w Boards & Commissions Urban,2017/18 Draft Estimates,Vote:778,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"70,920",o/w Ex-Gratia Urban,2017/18 Draft Estimates,Vote:778,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"30,000",o/w IFMIS Urban,2017/18 Draft Estimates,Vote:778,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"3,470",o/w Payroll Printing Municipalities,2017/18 Draft Estimates,Vote:778,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"169,735",o/w Urban UCG - NWR Municipality,2017/18 Draft Estimates,Vote:778,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"494,424",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:778,,Programme  01 Administration
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"6,740",321605  Domestic arrears (Budgeting),2017/18 Draft Estimates,Vote:778,,Programme  01 Administration
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"51,859",321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:778,,Programme  01 Administration
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"32,351",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:778,,Programme  04 Production and Marketing
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"9,870",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:778,,Programme  04 Production and Marketing
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"455,763",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:778,,Programme  05 Health
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"455,763",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:778,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"21,235",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:778,,Programme  05 Health
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"21,235",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:778,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"2,581,944",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:778,,Programme  06 Education
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"1,241,592",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:778,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"1,340,352",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:778,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"286,393",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:778,,Programme  06 Education
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"12,315",o/w Inspection,2017/18 Draft Estimates,Vote:778,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"60,049",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:778,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"214,029",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:778,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,0,321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:778,,Programme  08 Natural Resources
Recurrent Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"9,125",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:778,,Programme  09 Community Based Services
Development Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"65,644",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:778,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"118,789",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:778,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"18,604",o/w Eastern Division,2017/18 Draft Estimates,Vote:778,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"14,924",o/w Southern Division,2017/18 Draft Estimates,Vote:778,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,RUKUNGIRI Municipal Council,Central Government,"20,100",o/w Western Division,2017/18 Draft Estimates,Vote:778,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"37,385",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:779,,Programme  01 Administration
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"191,542",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:779,,Programme  01 Administration
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"989,048",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:779,,Programme  01 Administration
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"5,212",o/w Boards & Commissions Urban,2017/18 Draft Estimates,Vote:779,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"171,480",o/w Ex-Gratia Urban,2017/18 Draft Estimates,Vote:779,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"30,000",o/w IFMIS Urban,2017/18 Draft Estimates,Vote:779,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"5,946",o/w Payroll Printing Municipalities,2017/18 Draft Estimates,Vote:779,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"776,410",o/w Urban UCG - NWR Municipality,2017/18 Draft Estimates,Vote:779,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"514,257",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:779,,Programme  01 Administration
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"25,000",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:779,,Programme  04 Production and Marketing
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"53,223",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:779,,Programme  04 Production and Marketing
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"1,006,043",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:779,,Programme  05 Health
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"1,006,043",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:779,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"227,120",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:779,,Programme  05 Health
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"227,120",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:779,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"4,530,709",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:779,,Programme  06 Education
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"3,379,854",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:779,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"976,584",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:779,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"174,271",o/w Skills Development - Wage,2017/18 Draft Estimates,Vote:779,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"977,660",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:779,,Programme  06 Education
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"21,739",o/w Inspection,2017/18 Draft Estimates,Vote:779,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"166,858",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:779,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"789,063",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:779,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,0,321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:779,,Programme  08 Natural Resources
Recurrent Budget Estimates,NANSANA Municipal Council,Central Government,"63,204",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:779,,Programme  09 Community Based Services
Development Budget Estimates,NANSANA Municipal Council,Central Government,"319,525",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:779,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,NANSANA Municipal Council,Central Government,"894,744",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:779,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NANSANA Municipal Council,Central Government,"55,874",o/w Busukuma Division,2017/18 Draft Estimates,Vote:779,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NANSANA Municipal Council,Central Government,"89,252",o/w Gombe Division,2017/18 Draft Estimates,Vote:779,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NANSANA Municipal Council,Central Government,"114,734",o/w Nabweru Division,2017/18 Draft Estimates,Vote:779,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NANSANA Municipal Council,Central Government,"147,609",o/w Nansana Division,2017/18 Draft Estimates,Vote:779,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NANSANA Municipal Council,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:779,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,MAKINDYE SSABAGABO Municipal Council,Central Government,"49,464",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:780,,Programme  01 Administration
Recurrent Budget Estimates,MAKINDYE SSABAGABO Municipal Council,Central Government,"709,485",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:780,,Programme  01 Administration
Recurrent Budget Estimates,MAKINDYE SSABAGABO Municipal Council,Central Government,"5,212",o/w Boards & Commissions Urban,2017/18 Draft Estimates,Vote:780,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,MAKINDYE SSABAGABO Municipal Council,Central Government,"60,480",o/w Ex-Gratia Urban,2017/18 Draft Estimates,Vote:780,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,MAKINDYE SSABAGABO Municipal Council,Central Government,"30,000",o/w IFMIS Urban,2017/18 Draft Estimates,Vote:780,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,MAKINDYE SSABAGABO Municipal Council,Central Government,"2,152",o/w Payroll Printing Municipalities,2017/18 Draft Estimates,Vote:780,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,MAKINDYE SSABAGABO Municipal Council,Central Government,"611,641",o/w Urban UCG - NWR Municipality,2017/18 Draft Estimates,Vote:780,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,MAKINDYE SSABAGABO Municipal Council,Central Government,"510,417",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:780,,Programme  01 Administration
Recurrent Budget Estimates,MAKINDYE SSABAGABO Municipal Council,Central Government,"25,000",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:780,,Programme  04 Production and Marketing
