columnType,budgetType,value,year,vote,sp_pj,page,programme
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 03 Directorate of Human Resource Mangement & Dev't,1308,Programmme 56  Police Services
Total,Recurrent Budget Estimates,"31,980,247",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 03 Directorate of Human Resource Mangement & Dev't,1308,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"14,715,030",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 03 Directorate of Human Resource Mangement & Dev't,1308,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"16,693,105",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 03 Directorate of Human Resource Mangement & Dev't,1308,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 03 Directorate of Human Resource Mangement & Dev't,1308,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"5,989,971",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 04 Directorate of Police Operations,1308,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"2,052,747",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 04 Directorate of Police Operations,1308,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 04 Directorate of Police Operations,1308,Programmme 56  Police Services
Total,Recurrent Budget Estimates,"8,042,718",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 04 Directorate of Police Operations,1308,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"5,989,971",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 04 Directorate of Police Operations,1308,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"1,862,071",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 04 Directorate of Police Operations,1308,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 04 Directorate of Police Operations,1308,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"25,780,469",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 05 Directorate of Criminal Intellegence and Invest'ns,1309,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"7,598,589",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 05 Directorate of Criminal Intellegence and Invest'ns,1309,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 05 Directorate of Criminal Intellegence and Invest'ns,1309,Programmme 56  Police Services
Total,Recurrent Budget Estimates,"33,379,058",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 05 Directorate of Criminal Intellegence and Invest'ns,1309,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"25,780,469",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 05 Directorate of Criminal Intellegence and Invest'ns,1309,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"9,024,251",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 05 Directorate of Criminal Intellegence and Invest'ns,1309,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 05 Directorate of Criminal Intellegence and Invest'ns,1309,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"9,437,049",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 06 Directorate of Counter Terrorism.,1310,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"3,448,127",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 06 Directorate of Counter Terrorism.,1310,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 06 Directorate of Counter Terrorism.,1310,Programmme 56  Police Services
Total,Recurrent Budget Estimates,"12,885,176",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 06 Directorate of Counter Terrorism.,1310,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"9,437,049",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 06 Directorate of Counter Terrorism.,1310,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"3,447,327",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 06 Directorate of Counter Terrorism.,1310,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 06 Directorate of Counter Terrorism.,1310,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"5,814,576",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 07 Directorate of Logistics and Engineering,1311,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"71,249,401",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 07 Directorate of Logistics and Engineering,1311,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 07 Directorate of Logistics and Engineering,1311,Programmme 56  Police Services
Total,Recurrent Budget Estimates,"77,063,977",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 07 Directorate of Logistics and Engineering,1311,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"5,814,576",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 07 Directorate of Logistics and Engineering,1311,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"74,451,645",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 07 Directorate of Logistics and Engineering,1311,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 07 Directorate of Logistics and Engineering,1311,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"4,643,336",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 08 Directorate of Interpol & Peace Support Operations,1311,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"2,378,067",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 08 Directorate of Interpol & Peace Support Operations,1311,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 08 Directorate of Interpol & Peace Support Operations,1311,Programmme 56  Police Services
Total,Recurrent Budget Estimates,"7,021,402",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 08 Directorate of Interpol & Peace Support Operations,1311,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"4,643,336",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 08 Directorate of Interpol & Peace Support Operations,1311,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"2,113,407",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 08 Directorate of Interpol & Peace Support Operations,1311,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 08 Directorate of Interpol & Peace Support Operations,1311,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"4,487,874",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 09 Directorate of Information and Communications Tech,1312,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"3,440,289",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 09 Directorate of Information and Communications Tech,1312,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 09 Directorate of Information and Communications Tech,1312,Programmme 56  Police Services
Total,Recurrent Budget Estimates,"7,928,162",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 09 Directorate of Information and Communications Tech,1312,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"4,487,874",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 09 Directorate of Information and Communications Tech,1312,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"6,439,271",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 09 Directorate of Information and Communications Tech,1312,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 09 Directorate of Information and Communications Tech,1312,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"12,358,769",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 10 Directorate of Political Commissariat,1312,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"6,538,125",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 10 Directorate of Political Commissariat,1312,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 10 Directorate of Political Commissariat,1312,Programmme 56  Police Services
Total,Recurrent Budget Estimates,"18,896,894",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 10 Directorate of Political Commissariat,1312,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"12,358,769",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 10 Directorate of Political Commissariat,1312,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"6,306,512",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 10 Directorate of Political Commissariat,1312,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 10 Directorate of Political Commissariat,1312,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"4,362,774",2016/17 Approved Budget,Vote:144 Uganda Police Force,"SubProgramme 11 Directorate of Research, Planning and Development",1313,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"646,625",2016/17 Approved Budget,Vote:144 Uganda Police Force,"SubProgramme 11 Directorate of Research, Planning and Development",1313,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:144 Uganda Police Force,"SubProgramme 11 Directorate of Research, Planning and Development",1313,Programmme 56  Police Services
Total,Recurrent Budget Estimates,"5,009,399",2016/17 Approved Budget,Vote:144 Uganda Police Force,"SubProgramme 11 Directorate of Research, Planning and Development",1313,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"4,362,774",2017/18 Draft Estimates,Vote:144 Uganda Police Force,"SubProgramme 11 Directorate of Research, Planning and Development",1313,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"646,678",2017/18 Draft Estimates,Vote:144 Uganda Police Force,"SubProgramme 11 Directorate of Research, Planning and Development",1313,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:144 Uganda Police Force,"SubProgramme 11 Directorate of Research, Planning and Development",1313,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"20,506,027",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 12 Kampala Metropolitan Police,1313,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"1,731,625",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 12 Kampala Metropolitan Police,1313,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 12 Kampala Metropolitan Police,1313,Programmme 56  Police Services
Total,Recurrent Budget Estimates,"22,237,652",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 12 Kampala Metropolitan Police,1313,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"20,506,027",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 12 Kampala Metropolitan Police,1313,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"1,730,525",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 12 Kampala Metropolitan Police,1313,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 12 Kampala Metropolitan Police,1313,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"114,108,349",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 13 Specialised Forces Unit,1315,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"22,225,553",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 13 Specialised Forces Unit,1315,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 13 Specialised Forces Unit,1315,Programmme 56  Police Services
Total,Recurrent Budget Estimates,"136,333,902",2016/17 Approved Budget,Vote:144 Uganda Police Force,SubProgramme 13 Specialised Forces Unit,1315,Programmme 56  Police Services
Wage,Recurrent Budget Estimates,"114,108,349",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 13 Specialised Forces Unit,1315,Programmme 56  Police Services
Non Wage,Recurrent Budget Estimates,"22,224,453",2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 13 Specialised Forces Unit,1315,Programmme 56  Police Services
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:144 Uganda Police Force,SubProgramme 13 Specialised Forces Unit,1315,Programmme 56  Police Services
